resolution,mean_modularity,mean_stability_ARI,n_community,n_singleton
0.05,0.9402470116754376,0.9910853789760043,45,9
0.1,0.9425843397679495,0.9898801213063333,46,9
0.15,0.9472882268165167,0.9547129269610378,48,9
0.2,0.9488763087035889,0.9478771219960815,51,9
0.25,0.953179056643779,0.9209117929520556,52,9
0.3,0.9551357107830972,0.922489812524651,55,9
0.35,0.9566449813644695,0.931750489858795,57,9
0.4,0.956376944285361,0.909893005707729,56,9
0.45,0.9572416433820587,0.8962045071533113,59,9
0.5,0.9599217658622436,0.9130238347304692,60,9
0.55,0.960375599307708,0.917789933189523,62,9
0.6,0.9607165575768809,0.9121277122841356,65,9
0.65,0.9612080015446747,0.9207985260969005,68,9
0.7,0.9610874287305121,0.9056896942199341,69,9
0.75,0.9610245321993641,0.9084420828843667,68,9
0.8,0.9614100317722372,0.9367690152353504,69,9
0.85,0.9612769125852099,0.9226241397832237,70,9
0.9,0.9613855219137045,0.9243442092997084,72,9
0.95,0.9614275496057317,0.9252822414643436,73,9
1.0,0.9611580793771539,0.8998434436391669,75,9
1.05,0.961190069303643,0.917397406312717,75,9
1.1,0.9612181932534376,0.9321977004697775,75,9
1.15,0.9611784456369215,0.9239480018837488,75,9
1.2,0.9610769617827003,0.9237249797264768,77,9
1.25,0.9609913726856458,0.9074051735751858,78,9
1.3,0.9605828002165449,0.911764570498786,79,9
1.35,0.9602859769458101,0.8944574305413209,80,9
1.4,0.9602129103913997,0.8894176981414498,79,9
1.45,0.9599251175827765,0.8783654837294496,81,9
1.5,0.9600640253686994,0.8964911211762596,82,9
1.55,0.9589627200624061,0.8969142171504508,85,9
1.6,0.9588271420732133,0.9015899084379544,84,9
1.65,0.9588418155315722,0.910033920144422,85,9
1.7,0.9586352380213071,0.898537447079533,85,9
1.75,0.9587181664742273,0.885481355290357,85,9
1.8,0.9583630285088669,0.8978584613766408,86,9
1.85,0.9582869331334131,0.8976705207418713,87,9
1.9,0.9577926993616892,0.8814361325076918,86,9
1.95,0.9577783299769456,0.876845998705311,87,9
2.0,0.9573417589050102,0.8952855759861759,89,9
