filepath,label,width,height,format,mode,aspect_ratio,corrupt,file_hash,phash,siglip_community,siglip_subcommunity
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/pcb_261.jpg,Electronic,150,150,JPEG,RGB,1.0,False,e05bbb24078d93f3acd44a7f5447c24a,af488d820d6b6e2f,7,18
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Printer_172.jpg,Electronic,150,150,JPEG,RGB,1.0,False,c5becb240b8db975ea615573498e5cd6,eb61d296959ecc28,6,11
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/266.jpeg,Electronic,1152,864,JPEG,RGB,1.3333333333333333,False,25693995423bcecb88d9bc56c2def8f9,d0dede25752a5582,10,2
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/19.pile-of-electronic-waste-polluting-the-environment-in-junkyard-photo.jpg,Electronic,1470,980,JPEG,RGB,1.5,False,4c61d0c65caeb8b2b53a00a47a2c7413,c0d7f8e739134d30,0,14
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/20.old-used-obsolete-electronic-equipment-isolated-white-50908264.jpg,Electronic,800,515,JPEG,RGB,1.5533980582524272,False,30e50de994ead7159b10958052fde01f,bbf79140ca4dcc0d,0,0
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Keyboard_149.jpg,Electronic,150,150,JPEG,RGB,1.0,False,6ac3a6ab3f951d4490791f3a89f9452a,ab4edcb1c69910e6,2,5
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Player_134.jpg,Electronic,150,150,JPEG,RGB,1.0,False,24c201263bd861f4ae3bfa8b1522cb6e,d489ab424ddf3730,9,17
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Player_198.jpg,Electronic,150,150,JPEG,RGB,1.0,False,297c31052e56caf7cb39eb8e43280fb8,83af39718e106bd6,9,17
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/14.jpeg,Electronic,1160,870,JPEG,RGB,1.3333333333333333,False,8e05ba5fef47200901a4e020171453f1,a91adbad50d42d55,11,31
/kaggle/input/datasets/jessicamercya/satria-data-2026/BDC2026-20260708T012259Z-3-001 - Copy/BDC2026/train/1_Electronic/Television_187.jpg,Electronic,150,150,JPEG,RGB,1.0,False,e056bca80e48bd66eafc6ba738e462a6,e9619706e42dda96,4,12
